acct_id,invoice_balance,total_bought,total_paid,total_owed,ticket_bought,ticket_paid,ticket_owed,sc_bought,sc_paid,sc_owed,donations_pledged,donations_received,donations_owed,on_account_payments,other,charge_back_count,charge_back_amount,acct_type_desc,tag
144820,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144832,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144844,5,70.68,65.68,5,65.68,65.68,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144855,5,63483.9,63478.9,5,63463.9,63463.9,0,20,15,5,0,0,0,0,0,0,0,Centenary Club,
144865,2.5,2.5,1000,-997.5,0,1000,-1000,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144877,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144884,502.5,17487.44,17485.8,1.64,17350.3,17350.3,0,137.14,134.64,2.5,0,0,0,0,0,0,0,Centenary Club,
144896,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144907,805,10024.6,14019.6,-3995,10019.6,12685.6,-2666,5,0,5,0,0,0,1280,0,0,0,Centenary Club,
144913,2.5,35.34,32.84,2.5,32.84,32.84,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144924,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144932,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144943,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144954,0,42279.6,42279.6,0,42279.6,42279.6,0,0,0,0,0,0,0,0,0,0,0,Centenary Club,
144969,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144970,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144982,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144993,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
145004,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145014,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145025,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145036,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145047,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145058,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
145060,1005,25265.6,25260.6,5,25260.6,25260.6,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145071,5,241.7,227.5,14.2,100,100,0,141.7,136.7,5,0,0,0,0,0,0,0,Centenary Club,
145083,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145095,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145106,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145119,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Centenary Club,
145120,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145138,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145149,2.5,125,122.5,2.5,122.5,122.5,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
145150,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145163,5,2505,5000,-2495,2500,5000,-2500,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145175,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145186,5,70,65,5,65,65,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145197,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145208,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
145216,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
145227,5,519.22,515,4.22,0,0,0,519.22,514.22,5,0,0,0,0,0,0,0,Personal,
145235,5,20,15,5,0,0,0,20,15,5,0,0,0,0,0,0,0,Personal,
145243,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
145250,0,4000.3,4000.3,0,4000.3,4000.3,0,0,0,0,0,0,0,0,0,0,0,Personal,
145268,0,150,90,60,150,90,60,0,0,0,0,0,0,0,0,0,0,Personal,
145276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
145284,3780,11515,0,11515,11515,0,11515,0,0,0,0,0,0,0,0,0,0,Personal,
145292,2430,5730,2020,3710,5730,2020,3710,0,0,0,0,0,0,0,0,0,0,Personal,
145300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
145318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
145326,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
145334,2.5,2.5,4000,-3997.5,0,4000,-4000,2.5,0,2.5,0,0,0,0,0,0,0,Personal,
145342,5,20,15,5,0,0,0,20,15,5,0,0,0,0,0,0,0,Personal,
145359,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
145367,205,12050.6,16831.6,-4781,12040.6,12040.6,0,10,5,5,0,0,0,4786,0,0,0,Personal,
145375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
145383,5,14.4,10,4.4,0,0,0,14.4,9.4,5,0,0,0,0,0,0,0,Personal,
145391,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,Personal,
145409,500,4919.8,4949.8,-30,4520.3,4520.3,0,399.5,399.5,0,0,0,0,0,0,0,0,Personal,
145417,3000,30031.8,100034.3,-70002.5,30001.8,80001.8,-50000,30,32.5,-2.5,0,0,0,20000,0,0,0,Personal,
145425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
